treat,Group,week,eggs
a1p,AP17,5,0
a1p,AP18,5,0
a1p,AP19,5,0
a1p,AP21,5,1
a1p,AP22,5,0
a1p,AP23,5,1
a1p,AP24,5,6
a1p,AP25,5,0
a1p,AP26,5,0
a1p,AP29,5,0
a1p,AP31,5,0
a1p,AP33,5,0
a1p,AP34,5,0
a1p,AP35,5,0
a1p,AP36,5,0
a1p,AP37,5,3
a1p,AP38,5,3
a1p,AP39,5,0
a1p,AP40,5,0
0c,C1,6,NA
0c,C2,6,2
0c,C3,6,0
0c,C4,6,9
0c,C5,6,5
0c,C7,6,NA
0c,C9,6,NA
0c,C11,6,3
0c,C12,6,0
0c,C13,6,0
0c,C14,6,5
0c,C16,6,7
0c,C17,6,3
0c,C18,6,NA
0c,C19,6,0
0c,C20,6,0
0c,C21,6,3
0c,C22,6,0
0c,C23,6,0
0c,C24,6,3
0c,C26,6,NA
0c,C27,6,3
0c,C28,6,5
0c,C29,6,5
0c,C30,6,0
0c,C31,6,6
0c,C32,6,NA
0c,C33,6,0
0c,C34,6,1
0c,C35,6,NA
0c,C36,6,2
0c,C37,6,4
0c,C38,6,1
0c,C39,6,2
a,A1,6,2
a,A2,6,3
a,A3,6,1
a,A4,6,7
a,A5,6,3
a,A6,6,2
a,A7,6,1
a,A9,6,1
a,A10,6,4
a,A11,6,4
a,A12,6,0
a,A13,6,3
a,A14,6,3
a,A15,6,3
a,A16,6,9
a,A17,6,NA
a,A18,6,7
a,A19,6,7
a,A21,6,2
a,A22,6,2
a,A23,6,8
a,A24,6,4
a,A26,6,5
a,A27,6,5
a,A28,6,7
a,A29,6,8
a,A31,6,3
a,A32,6,9
a,A33,6,NA
a,A34,6,4
a,A35,6,4
a,A36,6,5
a,A37,6,NA
1p,P1,6,0
1p,P2,6,0
1p,P4,6,0
1p,P5,6,0
1p,P6,6,0
1p,P8,6,0
1p,P9,6,0
1p,P15,6,0
1p,P17,6,0
1p,P18,6,0
1p,P19,6,0
1p,P23,6,0
1p,P25,6,0
1p,P26,6,0
1p,P31,6,NA
1p,P32,6,0
1p,P33,6,0
1p,P37,6,0
1p,P40,6,0
a1p,AP3,6,0
a1p,AP5,6,0
a1p,AP7,6,NA
a1p,AP8,6,0
a1p,AP9,6,0
a1p,AP10,6,0
a1p,AP15,6,0
a1p,AP16,6,0
a1p,AP17,6,0
a1p,AP18,6,0
a1p,AP19,6,0
a1p,AP21,6,0
